
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# IsoCurve 0, 100 points
# x y z type
-2 -2  99 i
 0.0606061 -1.95181  10.4422 i
 0.10101 -1.95181  10.4319 i
 0.141414 -1.95181  10.4572 i
 0.181818 -1.95181  10.5186 i
 0.222222 -1.95181  10.6168 i
 0.262626 -1.95181  10.7526 i
 0.30303 -1.95181  10.9269 i
 0.343434 -1.95181  11.1408 i
 0.383838 -1.95181  11.3956 i
 0.424242 -1.95181  11.6928 i
 0.464646 -1.95181  12.034 i
 0.505051 -1.95181  12.4208 i
 0.545455 -1.95181  12.8553 i
 0.585859 -1.95181  13.3395 i
 0.626263 -1.95181  13.8757 i
 0.666667 -1.95181  14.4662 i
 0.707071 -1.95181  15.1136 i
 0.747475 -1.95181  15.8206 i
 0.787879 -1.95181  16.5902 i
 0.828283 -1.95181  17.4252 i
 0.868687 -1.95181  18.3291 i
 0.909091 -1.95181  19.305 i
 0.949495 -1.95181  20.3565 i
 0.989899 -1.95181  21.4874 i
 1.0303 -1.95181  22.7013 i
 1.07071 -1.95181  24.0024 i
 1.11111 -1.95181  25.3948 i
 1.15152 -1.95181  26.8828 i
 1.19192 -1.95181  28.4709 i
 1.23232 -1.95181  30.1636 i
 1.27273 -1.95181  31.9659 i
 1.31313 -1.95181  33.8827 i
 1.35354 -1.95181  35.9191 i
 1.39394 -1.95181  38.0803 i
 1.43434 -1.95181  40.3718 i
 1.47475 -1.95181  42.7993 i
 1.51515 -1.95181  45.3683 i
 1.55556 -1.95181  48.085 i
 1.59596 -1.95181  50.9553 i
 1.63636 -1.95181  53.9855 i
 1.67677 -1.95181  57.1819 i
 1.71717 -1.95181  60.5512 i
 1.75758 -1.95181  64.1001 i
 1.79798 -1.95181  67.8354 i
 1.83838 -1.95181  71.7641 i
 1.87879 -1.95181  75.8935 i
 1.91919 -1.95181  80.2309 i
 1.9596 -1.95181  84.7839 i
 2 -1.95181  89.56 i

# IsoCurve 4, 100 points
# x y z type
-2 -1.93574  97.0826 i
-1.9596 -1.93574  92.1577 i
-1.91919 -1.93574  87.4557 i
-1.87879 -1.93574  82.969 i
-1.83838 -1.93574  78.6901 i
-1.79798 -1.93574  74.6115 i
-1.75758 -1.93574  70.7262 i
